Function and Subfunction,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016 estimate,2017 estimate,2018 estimate,2019 estimate,2020 estimate,2021 estimate
050 National Defense:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051 Department of Defense-Military:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270 Energy:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271 Energy supply,"14,008",993,"4,934","6,123","5,448","40,640","7,165","7,856","7,046","5,348","5,511","4,745","2,280","3,807","2,789","3,394","4,220","4,789","7,404","3,386","3,757","1,777",978,-739,-36,"-2,302","-1,100",-958,-732,"1,864",-98,-948,-803,"2,218","18,216","5,776","5,908","7,739","7,747","6,350","4,538","6,138","5,646","4,455","4,246","6,089","7,114"
272 Energy conservation,79,39,242,527,611,738,700,168,449,455,472,426,234,310,314,366,461,511,561,669,715,533,533,584,619,737,807,896,881,868,859,781,828,"1,233","23,678","1,105",232,-183,96,"1,043","1,142","1,219","2,528","2,921","3,371","3,888","4,478"
274 Emergency energy preparedness,431,48,445,"3,175","3,008","-2,000","2,791","3,875","2,316","1,268","2,056",113,153,609,422,571,336,282,60,216,144,..........,-11,208,160,158,149,179,180,176,175,155,169,199,215,255,135,-297,100,"-2,546",202,220,264,-6,-11,-11,-9
"276 Energy information, policy, and regulation",651,179,711,841,777,943,"1,098",871,871,780,642,717,721,620,537,595,369,513,240,454,411,330,195,243,236,222,261,282,245,295,373,316,460,578,696,601,437,486,502,586,512,530,532,542,548,546,555
"Total, Energy","15,169","1,259","6,332","10,665","9,843","40,320","11,753","12,770","10,683","7,851","8,681","6,002","3,388","5,347","4,061","4,925","5,386","6,095","8,264","4,725","5,027","2,640","1,695",296,979,"-1,185",117,399,574,"3,203","1,309",304,654,"4,228","42,805","7,737","6,712","7,745","8,445","5,433","6,394","8,107","8,970","7,912","8,154","10,512","12,138"
300 Natural Resources and Environment:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301 Water resources,"3,036","1,079","3,635","3,781","3,577","4,085","4,079","3,913","4,608","3,781","4,087","3,678","4,107","4,295","4,312","4,332","4,370","4,768","4,801","5,253","4,128","4,172","5,157","5,053","4,710","4,800","5,362","5,883","5,653","5,632","7,003","13,309","7,971","10,912","19,065","6,813","6,146","7,939","11,087","7,059","6,753","7,268","5,635","5,735","5,841","6,239","6,207"
302 Conservation and land management,714,137,"1,051","1,742","1,504","1,572","1,631","1,154","2,199","1,749","1,852","1,776","2,152","3,062","4,178","4,362","4,593","5,411","5,535","5,860","5,975","5,980","6,079","6,259","6,485","6,604","8,858","9,797","10,638","10,846","9,727","8,585","9,343","9,587","12,075","11,933","10,926","10,505","10,639","11,594","9,470","13,821","14,976","14,931","15,058","15,195","15,452"
303 Recreational resources,706,146,"1,032","1,546","1,507","1,373",986,968,"1,265","1,086","1,156","1,099","1,245","1,229","1,409","1,804","1,794","1,921","1,835","1,949","1,964","2,095","2,238","2,955","2,472","2,719","2,930","3,022","2,903","2,969","3,009","3,010","3,109","3,352","4,226","3,809","3,550","3,476","3,824","3,848","3,919","4,098","4,886","5,718","5,748","5,400","5,495"
304 Pollution control and abatement,684,168,"2,691","5,376","5,306","4,672","2,982","3,645","3,677","4,037","4,303","3,399","5,296","4,932","5,068","5,545","6,151","6,595","6,908","6,584","5,874","6,431","6,627","7,192","7,422","7,483","7,740","7,995","8,072","8,545","8,103","7,777","7,690","7,547","14,955","10,473","8,548","8,647","8,499","8,343","8,113","8,218","8,655","8,663","8,836","9,018","9,193"
